date,region,state_po,candidate,party,voteshare,candidatevotes,totalvotes,ev,version
11/8/2016,Utah,UT,Johnson,libertarian,3.5010523133657500,,,,20171015
11/8/2016,Utah,UT,Castle,constitution party,0.70996900073100600,,,,20171015
11/8/2016,Utah,UT,Kopitke,independent american,0.24148845990999900,,,,20171015
11/8/2016,Vermont,VT,Clinton,democrat,55.722742123213900,,,,20171015
11/8/2016,Vermont,VT,Trump,republican,29.759382401308100,,,,20171015
11/8/2016,Vermont,VT,Sanders,independent,5.6848287031,,,,20171015
11/8/2016,Vermont,VT,Johnson,libertarian,3.1447855785463100,,,,20171015
11/8/2016,Vermont,VT,Stein,green,2.1087974736868400,,,,20171015
11/8/2016,Vermont,VT,De La Fuente,independent,0.33170342032096900,,,,20171015
11/8/2016,Vermont,VT,La Riva,liberty union party,0.1020385874364600,,,,20171015
11/8/2016,Virginia,VA,Clinton,democrat,49.751352833417700,,,,20171015
11/8/2016,Virginia,VA,Trump,republican,44.42764701392400,,,,20171015
11/8/2016,Virginia,VA,Johnson,libertarian,2.9696551530198200,,,,20171015
11/8/2016,Virginia,VA,McMullin,independent,1.3572022561284300,,,,20171015
11/8/2016,Virginia,VA,Stein,green,0.69394227910751200,,,,20171015
11/8/2016,Washington,WA,Clinton,democrat,52.538680061826600,,,8,20171015
11/8/2016,Washington,WA,Trump,republican,36.832680186637500,,,,20171015
11/8/2016,Washington,WA,Johnson,libertarian,4.8501078830118200,,,,20171015
11/8/2016,Washington,WA,Stein,green,1.7611294960927300,,,,20171015
11/8/2016,Washington,WA,Castle,constitution party,0.53129029408634700,,,,20171015
11/8/2016,Washington,WA,Kennedy,socialist workers,0.12984550284457200,,,,20171015
11/8/2016,Washington,WA,La Riva,socialism and liberation party,0.10620982273541400,,,,20171015
11/8/2016,Washington,WA,Powell,independent,0,,,3,JJCooley
11/8/2016,Washington,WA,Spotted Eagle,independent,0,,,1,JJCooley
11/8/2016,West Virginia,WV,Trump,republican,68.630574811619400,,,,20171015
11/8/2016,West Virginia,WV,Clinton,democrat,26.476928017771500,,,,20171015
11/8/2016,West Virginia,WV,Johnson,libertarian,3.2261366998994500,,,,20171015
11/8/2016,West Virginia,WV,Stein,green,1.1324575661488400,,,,20171015
11/8/2016,West Virginia,WV,Castle,constitution party,0.53390290456082400,,,,20171015
11/8/2016,Wisconsin,WI,Trump,republican,47.218184567310100,,,,20171015
11/8/2016,Wisconsin,WI,Clinton,democrat,46.453841372242700,,,,20171015
11/8/2016,Wisconsin,WI,Johnson,libertarian,3.5842951464139900,,,,20171015
11/8/2016,Wisconsin,WI,Stein,green,1.0440333988542200,,,,20171015
11/8/2016,Wisconsin,WI,Castle,constitution party,0.40864875762310400,,,,20171015
11/8/2016,Wisconsin,WI,Moorehead,workers world party,0.059472808830200100,,,,20171015
