date,region,district,candidate,party,voteshare,candidatevotes,totalvotes
11/8/2016,KY,2,Guthrie,republican,100,,
11/8/2016,KY,3,Yarmuth,democrat,63.499196,,
11/8/2016,KY,3,Bratcher,republican,36.500804,,
11/8/2016,KY,4,Sidle,democrat,28.67949,,
11/8/2016,KY,4,Massie,republican,71.32051,,
11/8/2016,KY,5,Rogers,republican,100,,
11/8/2016,KY,6,Kemper,democrat,38.910972,,
11/8/2016,KY,6,Barr,republican,61.089028,,
11/8/2016,KY,PV,democrat,democrat,29.28561554272870,,
11/8/2016,KY,PV,republican,republican,70.71438445727130,,
11/8/2016,LA,1,Kearney,libertarian,2.878013,,
11/8/2016,LA,1,Barron,green,2.055461,,
11/8/2016,LA,1,Dugas,democrat,12.803408,,
11/8/2016,LA,1,Scalise,republican,74.557511,,
11/8/2016,LA,1,Swider,democrat,2.826603,,
11/8/2016,LA,1,Yang,none,0.990244,,
11/8/2016,LA,1,Faust,democrat,3.88876,,
11/8/2016,LA,2,Richmond,democrat,69.754001,,
11/8/2016,LA,2,Cutno,democrat,10.150597,,
11/8/2016,LA,2,Holden,democrat,20.095403,,
11/8/2016,LA,3,Rantz,republican,9.085727,,
11/8/2016,LA,3,McLendon,libertarian,1.039856,,
11/8/2016,LA,3,Vidrine,republican,0.480451,,
11/8/2016,LA,3,Barrilleaux,republican,2.203276,,
11/8/2016,LA,3,Rees,republican,0.86991,,
11/8/2016,LA,3,Scelfo,none,0.945323,,
11/8/2016,LA,3,Rader,democrat,9.853316,,
11/8/2016,LA,3,Angelle,republican,21.513013,,
11/8/2016,LA,3,Higgins,republican,27.499708,,
11/8/2016,LA,3,Hebert,democrat,10.049815,,
11/8/2016,LA,3,Geymann,republican,7.650039,,
11/8/2016,LA,3,Ellison,republican,8.809565,,
11/8/2016,LA,4,Halverson,none,1.171673,,
11/8/2016,LA,4,Baucum,republican,18.757186,,
11/8/2016,LA,4,John,republican,4.918868,,
11/8/2016,LA,4,Jones,democrat,17.331012,,
11/8/2016,LA,4,Jenkins,republican,16.565275,,
11/8/2016,LA,4,Krefft,none,0.92759,,
11/8/2016,LA,4,Guillory,republican,7.819959,,
11/8/2016,LA,4,Johnson,republican,32.508437,,
11/8/2016,LA,5,Abraham,republican,81.570589,,
11/8/2016,LA,5,Burkette,republican,18.429411,,
11/8/2016,LA,6,Graham,other,0.971918,,
11/8/2016,LA,6,Bell,republican,10.145637,,
11/8/2016,LA,6,Sampson,democrat,9.007001,,
11/8/2016,LA,6,Fontanesi,libertarian,2.296299,,
11/8/2016,LA,6,Lieberman,democrat,14.914013,,
11/8/2016,LA,6,Graves,republican,62.665132,,
11/8/2016,LA,PV,democrat,democrat,30.305525205243400,,
11/8/2016,LA,PV,republican,republican,67.32583542450320,,
11/8/2016,MA,1,Other,independent,0.224234,,
11/8/2016,MA,1,Neal,democrat,73.335738,,
11/8/2016,MA,1,Simmons,libertarian,8.556038,,
11/8/2016,MA,1,Mayock,independent,17.883989,,
11/8/2016,MA,2,McGovern,democrat,98.244006,,
11/8/2016,MA,2,Other,independent,1.755994,,
11/8/2016,MA,3,Other,independent,0.104471,,
11/8/2016,MA,3,Wofford,republican,31.201827,,
11/8/2016,MA,3,Tsongas,democrat,68.693702,,
11/8/2016,MA,4,Rosa,republican,29.81306,,
11/8/2016,MA,4,Kennedy,democrat,70.098599,,
11/8/2016,MA,4,Other,independent,0.088341,,
11/8/2016,MA,5,Clark,democrat,98.550415,,
11/8/2016,MA,5,Other,independent,1.449585,,
11/8/2016,MA,6,Moulton,democrat,98.365891,,
11/8/2016,MA,6,Other,independent,1.634109,,
11/8/2016,MA,7,Other,independent,1.384526,,
11/8/2016,MA,7,Capuano,democrat,98.615474,,
11/8/2016,MA,8,Burke,republican,27.452206,,
11/8/2016,MA,8,Lynch,democrat,72.413664,,
11/8/2016,MA,8,Other,independent,0.13413,,
11/8/2016,MA,9,Alliegro,republican,33.641664,,
11/8/2016,MA,9,Other,independent,0.108188,,
11/8/2016,MA,9,Raduc,unenrolled,1.400387,,
11/8/2016,MA,9,Keating,democrat,55.749615,,
11/8/2016,MA,9,Harrington,independent,6.905329,,
11/8/2016,MA,9,Cataldo,unenrolled,2.194817,,
