"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party_detailed","writein","mode","candidatevotes","totalvotes","unofficial","version","party_simplified"
2016,"MARYLAND","MD",24,52,52,"US SENATE","statewide","gen",FALSE,"MARGARET FLOWERS","GREEN",FALSE,"total",89970,2726170,FALSE,"20210114","OTHER"
2016,"MARYLAND","MD",24,52,52,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",77,2726170,FALSE,"20210114","OTHER"
2016,"MARYLAND","MD",24,52,52,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",7,2726170,FALSE,"20210114","OTHER"
2016,"MARYLAND","MD",24,52,52,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",242,2726170,FALSE,"20210114","OTHER"
2016,"MARYLAND","MD",24,52,52,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",138,2726170,FALSE,"20210114","OTHER"
2016,"MARYLAND","MD",24,52,52,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",15,2726170,FALSE,"20210114","OTHER"
2016,"MARYLAND","MD",24,52,52,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",26,2726170,FALSE,"20210114","OTHER"
2016,"MARYLAND","MD",24,52,52,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",3231,2726170,FALSE,"20210114","OTHER"
2016,"MARYLAND","MD",24,52,52,"US SENATE","statewide","gen",FALSE,"KATHY SZELIGA","REPUBLICAN",FALSE,"total",972557,2726170,FALSE,"20210114","REPUBLICAN"
2016,"MISSOURI","MO",29,43,34,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",4,2802637,FALSE,"20210114","OTHER"
2016,"MISSOURI","MO",29,43,34,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",53,2802637,FALSE,"20210114","OTHER"
2016,"MISSOURI","MO",29,43,34,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",12,2802637,FALSE,"20210114","OTHER"
